DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/28/2016,6:10,MANHATTAN,10012,40.7203211,-73.9940403,"(40.720321, -73.99404)",DELANCEY STREET,BOWERY,,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inexperience,,,,3405686,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,6:10,MANHATTAN,10012,40.7203211,-73.9940403,"(40.720321, -73.99404)",DELANCEY STREET,BOWERY,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405687,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,7:55,MANHATTAN,10002,40.7231454,-73.9929578,"(40.723145, -73.992958)",,,253 BOWERY,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405688,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,9:15,,,,,,,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405689,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,10:35,MANHATTAN,10007,40.7148069,-74.0057644,"(40.714807, -74.005764)",,,290 BROADWAY,0,0,0,0,0,0,0,0,,,,,,3405690,PASSENGER VEHICLE,,,,
03/25/2016,16:40,MANHATTAN,10013,40.7180266,-74.0030447,"(40.718027, -74.003045)",WHITE STREET,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3405691,PASSENGER VEHICLE,OTHER,,,
03/28/2016,21:00,MANHATTAN,10012,40.7244328,-73.9934591,"(40.724433, -73.993459)",EAST HOUSTON STREET,ELIZABETH STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405692,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,22:20,,,,,,,20,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3405693,OTHER,OTHER,,,
03/29/2016,13:20,MANHATTAN,10002,40.7202415,-73.9938203,"(40.720242, -73.99382)",,,1 DELANCEY STREET,0,0,0,0,0,0,0,0,Driver Inexperience,Driver Inexperience,,,,3405694,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
03/29/2016,11:37,MANHATTAN,10013,40.7172911,-73.9988817,"(40.717291, -73.998882)",,,209 CANAL STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405695,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,18:00,MANHATTAN,10013,40.7177906,-73.998171,"(40.717791, -73.998171)",,,119 MULBERRY STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3405696,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,17:20,MANHATTAN,10012,40.7211721,-73.9965764,"(40.721172, -73.996576)",KENMARE STREET,MULBERRY STREET,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,3405697,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
